a_year,country_name,age_group,political_extremity_norm,social_trust_norm,digital_media_norm,Q240_extreme,Q240_placement_left_right
2018,Chile,45-59,0.0,0.3809523809523809,0.0,0,5.0
2018,Chile,60-74,0.25,0.7142857142857142,0.0,0,4.0
2018,Chile,30-44,0.0,0.1904761904761904,1.0,0,5.0
2018,Chile,45-59,1.0,0.16666666666666669,0.0,1,10.0
2018,Chile,30-44,0.0,0.3333333333333333,0.375,0,5.0
2018,Chile,18-29,0.0,0.3333333333333333,0.75,0,5.0
2018,Chile,60-74,0.0,0.4000000000000001,0.125,0,5.0
2018,Chile,45-59,0.0,0.5714285714285714,0.0,0,6.0
2018,Chile,30-44,0.0,0.8095238095238095,0.0,0,6.0
2018,Chile,45-59,0.5,0.5714285714285714,0.0,1,3.0
2018,Colombia,30-44,0.5,0.3333333333333333,0.0,1,8.0
2018,Colombia,45-59,0.0,0.3333333333333333,0.125,0,5.0
2018,Colombia,45-59,1.0,0.09523809523809529,0.125,1,1.0
2018,Colombia,60-74,1.0,0.28571428571428575,0.25,1,1.0
2018,Colombia,18-29,0.0,0.5714285714285714,0.0,0,5.0
2018,Colombia,45-59,0.0,0.23809523809523808,0.0,0,6.0
2018,Colombia,30-44,0.0,0.42857142857142855,0.0,0,5.0
2018,Colombia,45-59,0.5,0.23809523809523808,1.0,1,8.0
2018,Colombia,18-29,0.0,0.1904761904761904,0.5,0,5.0
2018,Colombia,45-59,0.0,0.14285714285714285,1.0,0,5.0
2018,Colombia,18-29,1.0,0.4761904761904761,0.25,1,10.0
2018,Colombia,45-59,1.0,0.14285714285714285,1.0,1,10.0
2018,Colombia,45-59,0.5,0.3809523809523809,0.5,1,3.0
2018,Colombia,45-59,0.0,0.523809523809524,0.0,0,5.0
2018,Colombia,30-44,1.0,0.523809523809524,0.0,1,10.0
2018,Colombia,18-29,0.0,0.7142857142857142,0.0,0,6.0
2018,Colombia,30-44,0.5,0.7619047619047619,0.5,1,8.0
2018,Colombia,30-44,1.0,0.4761904761904761,1.0,1,1.0
2018,Colombia,30-44,0.25,0.42857142857142855,0.0,0,4.0
2018,Colombia,45-59,0.5,0.4761904761904761,1.0,1,8.0
2018,Colombia,45-59,0.0,0.6190476190476191,0.0,0,5.0
2018,Colombia,30-44,1.0,0.3333333333333333,0.25,1,1.0
2018,Colombia,30-44,0.0,0.523809523809524,0.0,0,5.0
2018,Colombia,45-59,0.0,0.28571428571428575,0.5,0,6.0
2018,Colombia,30-44,0.0,0.6190476190476191,0.0,0,6.0
2018,Colombia,30-44,0.0,0.5714285714285714,0.0,0,5.0
2018,Colombia,30-44,1.0,0.14285714285714285,0.0,1,1.0
2018,Colombia,45-59,0.0,0.3809523809523809,0.375,0,6.0
2018,Colombia,18-29,0.0,0.3809523809523809,0.0,0,5.0
2018,Colombia,30-44,0.0,0.3333333333333333,0.25,0,5.0
2018,Colombia,18-29,1.0,0.28571428571428575,0.0,1,10.0
2018,Colombia,18-29,0.0,0.09523809523809529,0.0,0,6.0
2018,Colombia,45-59,1.0,0.42857142857142855,0.25,1,10.0
2018,Colombia,18-29,0.0,0.4761904761904761,0.0,0,5.0
2018,Colombia,30-44,1.0,0.523809523809524,0.0,1,10.0
2018,Colombia,18-29,0.0,0.3809523809523809,0.0,0,5.0
2018,Colombia,18-29,0.0,0.42857142857142855,0.0,0,5.0
2018,Colombia,75+,0.0,0.3333333333333333,1.0,0,5.0
2018,Colombia,45-59,0.5,0.4761904761904761,0.375,1,8.0
2018,Colombia,18-29,1.0,0.0,0.0,1,1.0
2018,Colombia,18-29,0.0,0.0,1.0,0,5.0
2018,Colombia,30-44,1.0,0.0,0.75,1,1.0
2018,Colombia,30-44,0.0,0.5714285714285714,0.0,0,5.0
2018,Colombia,18-29,0.0,0.14285714285714285,0.5,0,6.0
2018,Colombia,45-59,0.0,0.523809523809524,0.0,0,5.0
2018,Colombia,45-59,0.0,0.42857142857142855,1.0,0,5.0
2018,Colombia,30-44,0.0,0.3333333333333333,0.0,0,5.0
2018,Colombia,30-44,0.0,0.3809523809523809,0.0,0,6.0
2018,Colombia,30-44,0.0,0.523809523809524,0.0,0,5.0
2018,Colombia,18-29,1.0,0.23809523809523808,0.0,1,1.0
2018,Colombia,45-59,0.0,0.523809523809524,0.25,0,5.0
2018,Colombia,18-29,0.0,0.3809523809523809,0.0,0,5.0
2018,Colombia,45-59,1.0,0.4761904761904761,1.0,1,10.0
2018,Colombia,30-44,0.0,0.3333333333333333,0.0,0,5.0
