a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2018,BRA,1,4,3,3,1,3,3,5,5,10,2,24,1
2,2018,BRA,1,3,2,2,2,2,2,5,5,-2,1,47,1
2,2018,BRA,1,4,2,1,1,2,2,5,4,6,1,38,1
2,2018,BRA,1,4,3,2,2,4,3,5,5,-1,1,18,1
2,2018,BRA,1,3,3,4,1,1,1,5,5,-1,1,38,1
2,2018,BRA,2,4,1,4,4,1,2,1,5,10,2,26,1
2,2018,BRA,1,3,1,3,1,2,1,5,5,-1,2,55,1
2,2018,BRA,-1,3,-2,-1,2,1,1,5,5,5,2,35,1
2,2018,BRA,-2,4,4,1,-1,-5,-2,-1,5,10,2,44,1
2,2018,BRA,1,4,-1,3,3,1,3,-2,-2,-2,1,25,1
2,2018,BRA,1,4,2,3,1,3,3,5,5,8,2,31,1
2,2018,BRA,1,4,2,2,1,2,1,5,5,5,1,18,1
2,2018,BRA,1,4,2,3,2,3,3,4,5,-1,2,27,1
2,2018,BRA,1,4,3,2,1,-1,-1,-2,-2,-2,1,74,1
2,2018,BRA,1,2,2,3,1,-5,-1,1,1,10,2,65,1
2,2018,BRA,1,4,1,3,1,3,2,5,5,-2,2,27,1
2,2018,BRA,1,4,-2,-1,1,4,-1,1,1,-1,1,78,1
2,2018,BRA,1,4,4,4,1,1,1,1,1,-1,1,67,1
2,2018,BRA,1,3,2,3,1,2,1,2,2,-1,2,36,1
2,2018,BRA,1,3,3,2,1,1,1,1,1,5,1,33,1
2,2018,BRA,1,4,3,3,2,-1,1,1,4,-1,1,40,1
2,2018,BRA,1,1,3,3,1,3,-1,1,1,-1,2,86,1
2,2018,BRA,1,4,2,2,2,4,3,1,1,-1,1,67,1
2,2018,BRA,1,3,1,3,1,-2,-2,1,1,5,1,53,1
2,2018,BRA,1,3,1,2,2,2,4,5,5,5,2,39,1
2,2018,BRA,1,2,4,4,2,4,4,1,1,-2,1,65,1
2,2018,BRA,-1,3,3,4,3,3,3,1,5,-2,2,47,1
2,2018,BRA,2,4,3,2,1,3,3,3,1,6,2,66,1
2,2018,BRA,1,3,3,3,1,-1,1,5,5,-1,2,36,1
2,2018,BRA,1,4,4,4,3,3,3,1,1,-1,1,51,1
2,2018,BRA,1,4,3,3,2,-1,3,5,5,5,2,18,1
2,2018,BRA,1,3,2,2,1,3,2,5,5,3,1,29,1
2,2018,BRA,1,3,3,1,1,2,1,4,4,2,2,47,1
2,2018,BRA,1,4,4,4,2,-1,3,-1,-1,-2,2,34,1
2,2018,BRA,2,4,3,4,3,3,2,1,1,10,1,87,1
2,2018,BRA,1,4,3,3,2,4,4,5,5,5,1,55,1
2,2018,BRA,1,1,2,2,2,3,3,5,5,6,1,40,1
2,2018,BRA,1,4,3,3,1,-1,1,1,1,-2,1,74,1
2,2018,BRA,1,3,1,1,1,-2,-2,5,5,5,1,20,1
2,2018,BRA,1,4,3,3,3,3,4,5,5,10,1,48,1
2,2018,BRA,1,4,1,2,2,3,1,5,5,-2,1,38,1
2,2018,BRA,1,4,2,2,1,3,3,5,5,5,1,30,1
2,2018,BRA,1,4,3,3,2,3,-1,5,5,5,2,36,1
2,2018,BRA,1,4,4,2,2,2,2,1,1,10,1,54,1
2,2018,BRA,1,4,3,3,2,3,-1,5,5,-1,1,26,1
2,2018,BRA,1,3,3,3,3,3,3,5,5,-2,2,43,1
2,2018,BRA,1,4,3,3,1,3,-1,5,5,-2,2,48,1
2,2018,BRA,1,3,2,3,2,2,2,5,5,-1,2,23,1
2,2018,BRA,1,4,1,2,1,2,3,5,5,-1,2,64,1
